epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
127,395.045,0.09887,0.91228,1,0.65213,0.0087526,0.0087526,0.0087526
128,398.066,0.09985,0.90351,1,0.82512,0.0087427,0.0087427,0.0087427
129,401.546,0.10581,0.92982,1,0.69971,0.0087328,0.0087328,0.0087328
130,404.699,0.09175,0.92105,1,0.58046,0.0087229,0.0087229,0.0087229
131,407.697,0.09678,0.91228,1,0.74976,0.008713,0.008713,0.008713
132,410.869,0.09912,0.89474,1,0.60922,0.0087031,0.0087031,0.0087031
133,413.967,0.10313,0.91228,1,0.6309,0.0086932,0.0086932,0.0086932
134,416.974,0.10508,0.92982,1,0.71368,0.0086833,0.0086833,0.0086833
135,419.962,0.10152,0.92105,1,0.6095,0.0086734,0.0086734,0.0086734
136,423.124,0.06667,0.92982,1,0.5564,0.0086635,0.0086635,0.0086635
137,427.038,0.09962,0.91228,1,0.5871,0.0086536,0.0086536,0.0086536
138,430.219,0.11478,0.91228,1,0.64154,0.0086437,0.0086437,0.0086437
139,433.297,0.10511,0.89474,1,0.73944,0.0086338,0.0086338,0.0086338
140,436.449,0.09315,0.91228,1,0.72299,0.0086239,0.0086239,0.0086239
141,439.426,0.09527,0.92105,1,0.7709,0.008614,0.008614,0.008614
142,442.582,0.1065,0.92982,1,0.79381,0.0086041,0.0086041,0.0086041
143,445.572,0.11094,0.92982,1,0.60098,0.0085942,0.0085942,0.0085942
144,448.666,0.11738,0.90351,1,0.74162,0.0085843,0.0085843,0.0085843
145,452.201,0.09044,0.91228,1,0.96393,0.0085744,0.0085744,0.0085744
146,455.282,0.08928,0.92105,1,0.69183,0.0085645,0.0085645,0.0085645
147,458.32,0.09617,0.91228,1,0.63123,0.0085546,0.0085546,0.0085546
148,461.319,0.09532,0.91228,1,0.56311,0.0085447,0.0085447,0.0085447
149,464.456,0.08274,0.90351,1,0.64813,0.0085348,0.0085348,0.0085348
150,467.897,0.10257,0.91228,1,0.69197,0.0085249,0.0085249,0.0085249
151,470.858,0.09485,0.92105,1,0.79944,0.008515,0.008515,0.008515
152,473.843,0.09864,0.92105,1,0.53424,0.0085051,0.0085051,0.0085051
153,476.832,0.08873,0.92105,1,0.62622,0.0084952,0.0084952,0.0084952
154,479.786,0.09254,0.92105,1,0.66736,0.0084853,0.0084853,0.0084853
155,483.1,0.11134,0.91228,1,0.77039,0.0084754,0.0084754,0.0084754
156,486.142,0.08323,0.90351,1,0.77173,0.0084655,0.0084655,0.0084655
157,489.123,0.09368,0.92105,1,0.71477,0.0084556,0.0084556,0.0084556
158,492.085,0.07212,0.90351,1,0.66403,0.0084457,0.0084457,0.0084457
159,495.085,0.07136,0.92105,1,0.57104,0.0084358,0.0084358,0.0084358
160,498.376,0.08588,0.92105,1,0.8075,0.0084259,0.0084259,0.0084259
161,501.363,0.08804,0.92105,1,0.72345,0.008416,0.008416,0.008416
162,504.34,0.08017,0.91228,1,0.6671,0.0084061,0.0084061,0.0084061
163,507.365,0.06984,0.91228,1,0.81165,0.0083962,0.0083962,0.0083962
164,510.34,0.06994,0.92105,1,0.69201,0.0083863,0.0083863,0.0083863
165,513.868,0.07218,0.91228,1,0.63673,0.0083764,0.0083764,0.0083764
166,516.852,0.07461,0.91228,1,0.88422,0.0083665,0.0083665,0.0083665
167,519.921,0.08241,0.92105,1,0.60729,0.0083566,0.0083566,0.0083566
168,523.059,0.06594,0.92105,1,0.73138,0.0083467,0.0083467,0.0083467
169,526.207,0.06436,0.92105,1,0.66486,0.0083368,0.0083368,0.0083368
